URL	Name	Price	Brand	Response Time	Refresh Rate	Resolution	Panel
https://www.newegg.com/lg-27g850a-b-27-uhd-240-hz-ultragear-ips-black/p/N82E16824026474?recaptcha=pass	LG 27" 4K 240 Hz IPS Black UHD Gaming Monitor Nvidia G-Sync Compatible DCI-P3 99% (CIE1976) DUAL MODE Full HD 480Hz UltraGear 27G850A-B	$599.99	LG	1ms (GtG at Faster)	240 Hz	3840 x 2160 (4K)	IPS Black
https://www.newegg.com/lg-32gs60qc-b-32-qhd-180-hz-ultragear-va/p/N82E16824026415?recaptcha=pass	LG 32" 180 Hz VA QHD Gaming Monitor FreeSync (AMD Adaptive Sync) sRGB 99% (CIE1931) UltraGear 32GS60QC-B	$296.99	LG	1ms (GtG at Faster)	180 Hz	2560 x 1440 (2K)	VA
https://www.newegg.com/acer-31-5-uhd-240-hz-predator-x32-x2bmiiphx-oled-black/p/N82E16824011524?recaptcha=pass	Acer Predator X32 X2bmiiphx Gaming Monitor 31.5" UHD 3840 x 2160 OLED with AMD FreeSync Premium Pro, 240Hz, 0.03ms (G to G), Delta E<2, DCI-P3 99% Wide Color Gamut	$799.99	Acer	0.03ms (GTG)	240 Hz	3840 x 2160 (4K)	QD-OLED
https://www.newegg.com/lg-27gr83q-b-27-qhd-240-hz-ultragear-ips-black/p/N82E16824026379?recaptcha=pass	LG 27" 240 Hz IPS QHD(2560 x 1440) Gaming Monitor Nvidia G-Sync Compatible DCI-P3 95% (CIE1976) UltraGear 27GR83Q-B	$499.00	LG	1ms (GtG at Faster)	240 Hz	2560 x 1440 (2K)	IPS
https://www.newegg.com/msi-pro-mp251-e2-24-5-fhd/p/N82E16824475408?recaptcha=pass	MSI PRO MP251 E2 Gaming Monitor 24.5" IPS 1920 x 1080 (FHD), 120Hz, Adaptive-Synch, HDR Ready, HDMI, VGA Port, Display Port, VESA Mountable, Tilt, Speaker, 1ms, Black	$109.99	MSI	1ms (MPRT) / 4ms (GTG)	120 Hz	1920 x 1080	IPS
https://www.newegg.com/p/3D4-0003-00072?recaptcha=pass	LG - UltraGear 27" IPS LED 180Hz 1-ms NVIDIA G-SYNC Compatible and AMD Freesync Gaming Monitor with HDR - Black	$349.99	LG	NaN	180 Hz	NaN	NaN
https://www.newegg.com/msi-mag-341cqp-qd-oled-34-uwqhd-175-hz/p/N82E16824475350?recaptcha=pass	MSI 34" 175 Hz QD-OLED UWQHD Curved Gaming Monitor 3440 x 1440 (2K) MAG 341CQP QD-OLED	$699.99	MSI	0.03ms (GTG)	175 Hz	3440 x 1440 (2K)	QD-OLED
https://www.newegg.com/gigabyte-aorus-fo27q3-27-qhd-360-hz-qd-oled/p/N82E16824012080?recaptcha=pass	GIGABYTE - AORUS FO27Q3 - 27" QD OLED Gaming Monitor - QHD 2560x1440 - 360Hz - 0.03ms GTG - AMD FreeSync Premium Pro - Type C KVM - HDMI, DP, Type C - Height Adjustable - Black	$649.99	AORUS	0.03ms GTG	360 Hz	2560 x 1440 (2K)	OLED
https://www.newegg.com/msi-mag401qr-40-uwqhd-155-hz-ips-metallic-black-rgb/p/N82E16824475289?recaptcha=pass	MSI 40" 155 Hz IPS UWQHD IPS Gaming Monitor FreeSync Premium (AMD Adaptive Sync) 3440 x 1440 (2K) MAG401QR	$369.99	MSI	1ms (MPRT)	155 Hz	3440 x 1440 (2K)	IPS
https://www.newegg.com/asus-xg27acdng-26-5-qhd-360-hz-rog-strix-oled-qd-oled-black/p/N82E16824281333?recaptcha=pass	ASUS 26.5" 360 Hz OLED QHD Gaming Monitor FreeSync Premium Pro & G-Sync Compatible DCI-P3 99%, sRGB 135% ROG Strix OLED XG27ACDNG	$699.99	ASUS	0.03ms (GTG)	360 Hz	2560 x 1440 (2K)	OLED
